name	exit_code	expectation	command
causal_mask.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/causal_mask.esk -o /home/gabe/.cache/eshkol-r0/work3/causal_mask.aot -L /home/gabe/.cache/eshkol-r0/work3/build
causal_mask.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/causal_mask.aot
causal_mask.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/causal_mask.aot
causal_mask.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/causal_mask.esk -L /home/gabe/.cache/eshkol-r0/work3/build
causal_mask.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/causal_mask.esk -L /home/gabe/.cache/eshkol-r0/work3/build
dtype_boolean.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_boolean.esk -o /home/gabe/.cache/eshkol-r0/work3/dtype_boolean.aot -L /home/gabe/.cache/eshkol-r0/work3/build
dtype_boolean.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/dtype_boolean.aot
dtype_boolean.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/dtype_boolean.aot
dtype_boolean.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_boolean.esk -L /home/gabe/.cache/eshkol-r0/work3/build
dtype_boolean.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_boolean.esk -L /home/gabe/.cache/eshkol-r0/work3/build
dtype_integer.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_integer.esk -o /home/gabe/.cache/eshkol-r0/work3/dtype_integer.aot -L /home/gabe/.cache/eshkol-r0/work3/build
dtype_integer.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/dtype_integer.aot
dtype_integer.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/dtype_integer.aot
dtype_integer.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_integer.esk -L /home/gabe/.cache/eshkol-r0/work3/build
dtype_integer.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_integer.esk -L /home/gabe/.cache/eshkol-r0/work3/build
embedding.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/embedding.esk -o /home/gabe/.cache/eshkol-r0/work3/embedding.aot -L /home/gabe/.cache/eshkol-r0/work3/build
embedding.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/embedding.aot
embedding.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/embedding.aot
embedding.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/embedding.esk -L /home/gabe/.cache/eshkol-r0/work3/build
embedding.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/embedding.esk -L /home/gabe/.cache/eshkol-r0/work3/build
file_binary_io.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_binary_io.esk -o /home/gabe/.cache/eshkol-r0/work3/file_binary_io.aot -L /home/gabe/.cache/eshkol-r0/work3/build
file_binary_io.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/file_binary_io.aot
file_binary_io.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/file_binary_io.aot
file_binary_io.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_binary_io.esk -L /home/gabe/.cache/eshkol-r0/work3/build
file_binary_io.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_binary_io.esk -L /home/gabe/.cache/eshkol-r0/work3/build
file_io.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_io.esk -o /home/gabe/.cache/eshkol-r0/work3/file_io.aot -L /home/gabe/.cache/eshkol-r0/work3/build
file_io.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/file_io.aot
file_io.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/file_io.aot
file_io.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_io.esk -L /home/gabe/.cache/eshkol-r0/work3/build
file_io.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_io.esk -L /home/gabe/.cache/eshkol-r0/work3/build
file_rename.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_rename.esk -o /home/gabe/.cache/eshkol-r0/work3/file_rename.aot -L /home/gabe/.cache/eshkol-r0/work3/build
file_rename.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/file_rename.aot
file_rename.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/file_rename.aot
file_rename.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_rename.esk -L /home/gabe/.cache/eshkol-r0/work3/build
file_rename.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_rename.esk -L /home/gabe/.cache/eshkol-r0/work3/build
layer_norm.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/layer_norm.esk -o /home/gabe/.cache/eshkol-r0/work3/layer_norm.aot -L /home/gabe/.cache/eshkol-r0/work3/build
layer_norm.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/layer_norm.aot
layer_norm.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/layer_norm.aot
layer_norm.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/layer_norm.esk -L /home/gabe/.cache/eshkol-r0/work3/build
layer_norm.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/layer_norm.esk -L /home/gabe/.cache/eshkol-r0/work3/build
matmul.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/matmul.esk -o /home/gabe/.cache/eshkol-r0/work3/matmul.aot -L /home/gabe/.cache/eshkol-r0/work3/build
matmul.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/matmul.aot
matmul.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/matmul.aot
matmul.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/matmul.esk -L /home/gabe/.cache/eshkol-r0/work3/build
matmul.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/matmul.esk -L /home/gabe/.cache/eshkol-r0/work3/build
memory_loop.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/memory_loop.esk -o /home/gabe/.cache/eshkol-r0/work3/memory_loop.aot -L /home/gabe/.cache/eshkol-r0/work3/build
memory_loop.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/memory_loop.aot
memory_loop.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/memory_loop.aot
memory_loop.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/memory_loop.esk -L /home/gabe/.cache/eshkol-r0/work3/build
memory_loop.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/memory_loop.esk -L /home/gabe/.cache/eshkol-r0/work3/build
precision_f64.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/precision_f64.esk -o /home/gabe/.cache/eshkol-r0/work3/precision_f64.aot -L /home/gabe/.cache/eshkol-r0/work3/build
precision_f64.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/precision_f64.aot
precision_f64.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/precision_f64.aot
precision_f64.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/precision_f64.esk -L /home/gabe/.cache/eshkol-r0/work3/build
